VPC ID,Structure,SMILES,Mol Weight,IC50_eGFP,PSA IC50 (uM),% Growth@50uM (MTS),% Peptide Displacement@50uM (FP),% AR Inhibition@50/25uM (eGFP),% AR Inhibition@3uM (eGFP),CV_eGFP (50uM),CV_eGFP (3uM),CV_FP,Half Life,,U-shaper,
13617,,FC(F)(F)c1c2c(nc(-c3c4c(c(C)ccc4)[nH]c3)c1)cccc2,326.32,"1,000.00","1,000.00",,,,,,,,,,,
13620,,Oc1c2c(nc(-c3c4c(c(C)ccc4)[nH]c3)cc2)ccc1,274.32,"1,000.00","1,000.00",,,,,,,,17.00,,,
13623,,Fc1c2c(nc(-c3c4c(c(C)ccc4)[nH]c3)cc2)ccc1,276.31,"1,000.00","1,000.00",,,,,,,,13.00,,,
13631,,Fc1c(C)c2[nH]cc(-c3nc4c(c(F)ccc4)cc3)c2cc1,294.31,"1,000.00","1,000.00",,,,,,,,34.00,,,
13632,,O=[N+]([O-])c1c2c(nc(-c3c4c(c(C)ccc4)[nH]c3)cc2)ccc1,303.32,"1,000.00","1,000.00",,,,,,,,,,,
13635,,Fc1c(C)c2[nH]cc(-c3nc4c(F)cccc4cc3)c2cc1,294.31,"1,000.00","1,000.00",,,,,,,,,,,
13636,,N#Cc1c2c(nc(-c3c4c(c(C)cc(C)c4)[nH]c3)c1)cccc2,297.36,"1,000.00","1,000.00",,,,,,,,,,,
13637,,c1(-c2cnc3c(c2)cccc3)c2c([nH]c1)ccnc2,245.29,"1,000.00","1,000.00",,,,,,,,,,,
13638,,Brc1cc(c(OC)cc1)-c1c2c([nH]c1)cccc2,302.17,"1,000.00","1,000.00",,,,,,,,,,,
13647,,O=CO.Cc1c2n(-c3nc4c(cc(C)cc4)cc3)ccc2ncc1,319.36,"1,000.00","1,000.00",,,,,,,,,,,
13648,,Fc1cc2nc(-n3c4c(C)ccnc4cc3)ccc2cc1.O=CO,323.33,"1,000.00","1,000.00",,,,,,,,503.00,,,
13649,,Cc1c2n(-c3nc4c(cc3)ccc(C)c4)ccc2ncc1,273.34,"1,000.00","1,000.00",,,,,,,,22.00,,,
13657,,Fc1cc(C)c2[nH]cc(-c3nc4c(c(C#N)c3)cccc4)c2c1,301.32,"1,000.00","1,000.00",,,,,,,,,,,
13659,,Fc1c(C)c2[nH]cc(-c3nc4c(c(C)c3)cccc4)c2cc1,290.34,"1,000.00","1,000.00",,,,,,,,,,,
13661,,Oc1c(-c2c3c(c(C)ccc3)[nH]c2)nc2c(c1)cccc2,274.32,"1,000.00","1,000.00",,,,,,,,,,,
13662,,Cc1c2[nH]cc(-c3nc4c(nccc4)cc3)c2ccc1,259.31,"1,000.00","1,000.00",,,,,,,,16.00,,,
13663,,c1(-c2nc3c(cc2)cccc3)n[nH]c2c1nccc2,246.27,"1,000.00","1,000.00",,,,,,,,126.00,,,
13664,,Fc1c(F)cc2[nH]cc(-c3nc4c(c(C#N)c3)cccc4)c2c1,305.29,"1,000.00","1,000.00",,,,,,,,23.00,,,
13666,,Fc1c2[nH]cc(-c3nc4c(c(C(=O)O)ccc4)cc3)c2cc(F)c1,324.29,"1,000.00","1,000.00",,,,,,,,642.00,,,
13667,,Clc1c2[nH]cc(-c3nc4c(c([N+](=O)[O-])ccc4)cc3)c2cc(F)c1,341.73,"1,000.00","1,000.00",,,,,,,,49.00,,,
13668,,Clc1c2[nH]cc(-c3nc4c(c(F)ccc4)cc3)c2cc(F)c1,314.72,"1,000.00","1,000.00",,,,,,,,25.00,,,
13669,,Clc1c2[nH]cc(-c3nc4c(c(Cl)ccc4)cc3)c2cc(F)c1,331.17,"1,000.00","1,000.00",,,,,,,,66.00,,,
13670,,Fc1c2[nH]cc(-c3nc4c(c([N+](=O)[O-])ccc4)cc3)c2cc(F)c1,325.28,"1,000.00","1,000.00",,,,,,,,51.00,,,
13671,,Fc1c2[nH]cc(-c3nc4c(c(F)ccc4)cc3)c2cc(F)c1,298.27,"1,000.00","1,000.00",,,,,,,,31.00,,,
13672,,Clc1c2c(nc(-c3c4c(c(F)cc(F)c4)[nH]c3)cc2)ccc1,314.72,"1,000.00","1,000.00",,,,,,,,47.00,,,
13673,,Clc1c2[nH]cc(-c3nc4c(c(C(=O)O)ccc4)cc3)c2cc(F)c1,340.74,"1,000.00","1,000.00",,,,,,,,"1,330.00",,,
13678,,Brc1c2c(nc(-c3c4c(c(C)ccc4)[nH]c3)cc2)ccc1,337.22,"1,000.00","1,000.00",,,,,,,,,,,
13679,,Brc1c2nc(-c3c4c(c(C)ccc4)[nH]c3)ccc2c(Br)cc1,416.12,"1,000.00","1,000.00",,,,,,,,,,,
13685,,c1(-c2cc3c(cc2)cccc3)c2c([nH]c1)ccnc2,244.30,"1,000.00","1,000.00",,,,,,,,,,,
13686,,c1(-c2ccccc2)[nH]c2c(n1)cncc2,195.23,"1,000.00","1,000.00",,,,,,,,47.00,,,
13687,,Oc1c(-c2[nH]c3c(n2)cccc3)cccc1,210.24,"1,000.00","1,000.00",,,,,,,,45.00,,,
13689,,O=[N+]([O-])c1c2c(nc(-c3c4c([nH]c3)cccc4)cc2)ccc1,289.29,"1,000.00","1,000.00",,,,,,,,17.90,,,
13690,,Fc1c2c(nc(-c3c4c([nH]c3)cccc4)cc2)ccc1,262.29,"1,000.00","1,000.00",,,,,,,,17.80,,,
13696,,Fc1c2[nH]cc(-c3nc4c(c(C(=O)NC)ccc4)cc3)c2cc(F)c1,337.33,0.04,0.04,,,,,,,,,,,
13696,,Fc1c2[nH]cc(-c3nc4c(c(C(=O)NC)ccc4)cc3)c2cc(F)c1,337.33,0.00,0.04,,,,,,,,,,1,
13697,,Fc1c2[nH]cc(-c3nc4c(F)cccc4cc3)c2ccc1,280.28,0.00,0.03,,,,,,,,,,1,
13698,,Clc1c2nc(-c3c4c(c(F)ccc4)[nH]c3)ccc2ccc1,296.73,0.00,0.04,,,,,,,,,,1,
13700,,C(c1n[nH]nn1)c1c2c([nH]c1)cccc2,199.22,"1,000.00","1,000.00",,,,,,,,138.00,,,
13701,,c1(-c2c3c([nH]c2)cccc3)n[nH]nn1,185.19,"1,000.00","1,000.00",,,,,,,,233.00,,,
13706,,Clc1c2c(nc(-c3c4c([nH]c3)cccc4)cc2)ccc1,278.74,"1,000.00","1,000.00",,,,,,,,,,,
13707,,Clc1c2c(nc(-c3c4c([nH]c3)cc(F)c(F)c4)cc2)ccc1,314.72,"1,000.00","1,000.00",,,,,,,,,,,
13709,,Clc1c2c(nc(-c3c4c(c(C)cc(F)c4)[nH]c3)cc2)ccc1,310.76,"1,000.00","1,000.00",,,,,,,,82.00,,,
